,id,skills,edu_1,edu_2,edu_3,org_1,org_2,org_3,org_4,organization_title_1,label
119,pradeepud,C Python Programming Language MySQL SQL Linux Machine Learning Software Development Databases C Programming Language Programming C Deep Learning Python Data Structures Algorithms Natural Language Processing NLP R Matlab Computer Vision Management Apache Spark Keras Artificial Intelligence Teaching Flask SQLAlchemy Pandas Unix Optimization Entrepreneurship Employee Training Emotional Intelligence Amazon RDS Educational Consulting IT Consulting                 ,"M.E., Artificial Intelligence Indian Institute of Science (IISc)","B.Tech, Computer Engineering National Institute of Technology Kurukshetra","Higher; C.B.S.E; C.B.S.E, Education; 12th; Secondary Education (10th SUNRISE VILLE SCHOOL ,NOIDA",ML Engineer Traceable AI,Machine Learning Consultant Barracuda,Machine Learning Specialist Amity Online,EFSG4 Founder In Residence Entrepreneur First,ML Engineer,1
120,aiborra,JavaScript Python Programming Language SQL Git Data Engineering Machine Learning Data Analysis Microsoft Azure Databases Public Speaking MongoDB Data Mining Natural Language Processing NLP Statistics Data Visualization Data Science Tableau Time Series Analysis Artificial Intelligence AI Microsoft Power BI Google Cloud Platform GCP Django Web Scraping ScikitLearn Risk Management Docker Jira Postman API Google BigQuery Azure Cognitive Services Trading Chatbots Web Services API Virtual Assistant Azure Language Understanding LUIS Principal Component Analysis PCA AutoML HO               ,"International Business, Business & Finance The Russian Presidential Academy of National Economy and Public Administration (RANEPA)","International Business, Business & Finance University of Valencia","Superior Technician in International Trade, International trade IES La Creueta",Data Scientist & ML Engineer Making Science,Data Scientist & Python Developer at Global AI Innovation Center Madrid  EY,"Technical, Fundamental, Algorithmic Trader IC Markets",Business Development Manager (summer program) deVere Group,Data Scientist & ML Engineer,1
121,shaodanzhai,Java C SQL Linux Machine Learning Programming C Computer Science Python Data Structures Algorithms Data Mining Numerical Analysis Statistics R Matlab Research Mathematics Distributed Systems Software Engineering LaTeX Artificial Intelligence C Natural Language Processing Information Retrieval IDL                          ,"Doctor of Philosophy (Ph.D.), Computer Science Wright State University", , ,Staff ML Engineer Twitter,Senior ML Engineer Twitter,ML Engineer Twitter,Research Assistant Wright State University,Staff ML Engineer,1
122,rumen-paletov-37a2b39a,Java JavaScript MySQL SQL Git Machine Learning Data Analysis Software Development Scala C Deep Learning Python Data Structures Algorithms Data Mining Statistics Hadoop Research Data Modeling MapReduce Artificial Intelligence C ASPNET TypeScript NET Algorithm Design Ruby on Rails Test Driven Development Ruby Scalding WPF Redis WCF RSpec BDD                 ,"Master’s Degree, Artificial Intelligence Sofia University St. Kliment Ohridski","Bachelor's Degree, Computer Science Sofia University St. Kliment Ohridski","High School, Informatics and Mathematics High School of Natural Science and Mathematics „Akad. Nikola Obreshkov“, Burgas",Senior ML Engineer Twitter,Software Engineering Intern Google,Research Intern ETH Zürich,Software Engineering Intern Twitter,Senior ML Engineer,1
123,adamnpeace,Java C JavaScript Python Programming Language PHP MySQL HTML Cascading Style Sheets CSS AngularJS Nodejs SQL Git Linux HTML Machine Learning Data Analysis Software Development Microsoft Azure Databases C Programming Language Responsive Web Design Programming Teamwork Leadership Microsoft Excel Expressjs Python Data Structures Algorithms Github Data Science Research Mathematics Amazon Web Services AWS jQuery Ionic Framework Version Control NoSQL TypeScript Application Programming Interfaces Middleware Lua Haskell Functional Programming Client Relations Universities      ,Computer Science (Minor: Intelligent Systems & AI) UCL,"A-level Maths, Further Maths & Physics Wells Cathedral School", Gordonstoun,ML Engineer Apple,Teaching Assistant UCL,Software Engineer IBM,Quantitative Analyst Ebury,ML Engineer,1
124,richa-kushwaha,Java C JavaScript Python Programming Language MySQL Cascading Style Sheets CSS XML Linux HTML Machine Learning Software Development Scala C Deep Learning Data Structures Algorithms Natural Language Processing NLP Data Analytics Tableau TensorFlow Keras Shell Scripting Spark ScikitLearn Bash Oracle Latex Spark MLlib                        ,"M. Tech. (CSE), Computer Science and Engineering IIIT Hyderabad","Bachelor of Engineering - BE, Computer Science & Engineering Rajiv Gandhi Prodyogiki Vishwavidyalaya", ,Senior ML Engineer(Research) Samsung R&D Institute India,Senior ML Engineer (Research) Samsung R&D Institute India,Graduate Teaching Assistant IIIT Hyderabad,Summer Research Intern Samsung R&D Institute Bangalore,Senior ML Engineer(Research),1
125,arjun-kumar-b904b1131,Python Programming Language SQL Machine Learning Deep Learning Natural Language Processing NLP Data Analytics Machine Learning Algorithms TensorFlow Keras github                                          ,"Bachelor of Technology (B.Tech.), Computer Science GITAM Deemed University", , ,ML Engineer Tata Consultancy Services, , , ,ML Engineer,1
126,arati-ganesh,Linux C Programming Language Microsoft Office C Python Image Processing Matlab Computer Vision Management TensorFlow PyTorch Shell Scripting Communication Web Scraping Teaching Embedded Systems Control Systems Design Digital Signal Processing Raspberry Pi ARM CortexM Robotics Internet of Things IoT Embedded C CUDA Keil Robot Operating System ROS Gazebo                         ,"Bachelor of Technology - BTech, Electrical and Electronics Engineering B. M. S. College of Engineering",CBSE - 11th & 12th CMR Group of Institutions, New Horizon Public School,Associate ML Engineer Ignitarium,Embedded Engineering Intern Honeywell,Intern Robert Bosch Centre for Cyber-Physical Systems @ IISc,Intern Dassault Systèmes,Associate ML Engineer,1
127,tianyi-cui,Java C MySQL Git Machine Learning Scala C Python Data Mining Hadoop Big Data Caffe Apache Kafka LaTeX MATLAB Spark Maven Docker AWS Hdfs Apache ZooKeeper Hive Sql Google Cloud Unix Shell Opencv Assembly                          ,"Non degree, Computer Science National University of Singapore","Non degree, Finance, Consulting, Journalism, Marketing Columbia University in the City of New York","Honors Youth Program, College/University Preparatory and Advanced High School/Secondary Diploma Program Xi'an Jiaotong University",ML Engineer Twitter,Parttime Instructor University of Pittsburgh School of Computing and Information,Software Engineer Intern Twitter,Software Engineer Intern Xiaomi Technology,ML Engineer,1
128,maroisvincent,Git Machine Learning Data Analysis C ObjectOriented Programming OOP Project Management Deep Learning Python Algorithms Natural Language Processing NLP Computer Vision Artificial Intelligence AI Research PyTorch LaTeX Neural Networks Gestion de projet                                   ,"Master's degree, Computer Science Georgia Institute of Technology","Master's degree, Electrical Engineering INSA Lyon - Institut National des Sciences Appliquées de Lyon", ,"ML Engineer, Recommendations Twitter",Software Engineer Bloomberg LP,AI Resident IBM,Machine Learning Software Engineering Intern IBM,"ML Engineer, Recommendations",1
129,ivanna-chovhan-a093a818a,MySQL SQL Microsoft Excel Python                                                ,"Бакалавр, Software Engineering APEPS department of Igor Sikorsky Kyiv  Polytechnic Institute", , ,ML Engineer MindCraft AI ,Data Scientist  Winstars Technology LLC,Intern Data Scientist  Winstars Technology LLC, ,ML Engineer,1
130,haricherukuri,Linux Machine Learning Data Analysis Deep Learning Python Data Visualization Hadoop Hive Tableau Google Cloud Platform GCP PySpark TensorFlow PyTorch Keras Amazon Web Services AWS NumPy ScikitLearn NoSQL Neural Networks Bash Azure Databricks                               ,"Master’s Degree, Computer and Information Systems Security/Information Assurance Sam Houston State University","Bachelor’s Degree, Information Technology Jawaharlal Nehru Technological University", ,ML Engineer Rogers Communications,Big Data / Automation Engineer American Express,Systems / Automation Engineer West Corporation,System Administrator / Automation Engineer Walgreens,ML Engineer,1
131,belstrel,Java SQL Git Scala Python Hadoop Hive Apache Spark Apache Kafka Spark NoSQL Hibernate Maven Apache Flink REST Apache Airflow Redis JDBC BigData                                 ,"Курсы профпереподготовки, Разработчик java enterprice ВИАКАДЕМИЯ","Специалист, Экономист СФГА","Инжинер автомобилестроения Moscow State Technical University ""MAMI""​ (Institute of Automobile Technology and Management)",ML Engineer IPONWEB,Data Engineer GPM Data,Big Data Developer Квант,Big Data Developer Сбербанк,ML Engineer,1
132,ashwinkashyap,Java Machine Learning Software Development C Python Algorithms Cloud Computing Distributed Systems Agile Methodologies Software Engineering Mobile Applications Information Retrieval Signal Processing Startups User Experience System Architecture Video Compression Streaming Media Video                                 ,"Masters, Computer Science Rutgers University", , ,Staff ML Engineer Apple,Co-Founder Livemagic (currently Didjatv),WW Project Lead Technicolor,Project Lead Technicolor,Staff ML Engineer,1
133,okkah,JavaScript Git Linux HTML Machine Learning Problem Solving CSS C Deep Learning Python Data Science Image Processing OpenCV Computer Vision Research PyTorch LaTeX MATLAB Artificial Intelligence ScikitLearn Web Design Pattern Recognition Object Detection Segmentation Classification Image Analysis RD Data visualization Web Application Chainer WebAPI Vim Lecture                   ,"Master of Science and Engineering, Applied Informatics Hosei University","Bachelor of Science and Engineering, Applied Informatics Hosei University", ,ML Engineer ソフトバンク,AI Specialist AVILEN,Teaching Assistant 法政大学,Researcher Hitachi,ML Engineer,1
134,manju-malateshappa,Java JavaScript Python Programming Language MySQL Cascading Style Sheets CSS XML AngularJS Bootstrap Big Data Analytics Machine Learning Data Analysis CSS Teamwork C Reactjs Deep Learning Scrum Data Mining Apache Spark TensorFlow Big Data Agile Methodologies Amazon Web Services AWS Communication HTML OOP Matplotlib ScikitLearn AJAX JSON Object Oriented Design Seaborn Talent Management Visual Analytics Unit Testing CSS Set Top Box MPEG Social Inclusion Mindfulness Spark Hadoop panads          ,"Master's degree, Computer Science Simon Fraser University","Bachelor's Degree, Computer Science University Vishweshwaraya College of Engineering","High School, Science JNVG",AI/ML Engineer Alida,AI/ML Engineer Alida,Teaching Assistant Simon Fraser University,AI/ML Engineer Vision Critical,AI/ML Engineer,1
135,nurlan-shagadatov-2b26b011b,Machine Learning Deep Learning Python Statistics Data Science PyTorch Reinforcement Learning Tensorflow                                            ,"Master of Science - MS, Statistical Learning Theory,  GPA 4.3 (out of 5.0) Skolkovo Institute of Science and Technology","Master of Science - MS, Statistical Learning Theory, GPA 8.22 (out of 10.0) State University — Higher School of Economics","Bachelor's degree, Mathematics Lomonosov Moscow State University (MSU)",ML Engineer Yandex  Self-Driving Group,ML Research Engineer Huawei Technologies,Research Intern National Research University — Higher School of Economics, ,ML Engineer,1
136,averkieff,JavaScript XML AngularJS HTML Software Development Python Microsoft SQL Server C jQuery Web Services ASPNET MVC Object Oriented Design Design Patterns NET REST Test Driven Development WPF LINQ TSQL IIS   Multithreading Computer Security MSTest NUnit                          ,"Специалист, Инженер-математик Bauman Moscow State Technical University","Master of Science (M.Sc.), Applied Mathematics Moscow State Technical University n.a. N.E. Bauman", ,ML Engineer Lingtrain,Senior Developer Kaspersky,ML Engineer Высшая Школа Экономики,Senior Developer PayQR,ML Engineer,1
137,karol-gongola-9997b1142,C MySQL XML SQL Git Linux Machine Learning Databases Programming Deep Learning Python Scrum Hadoop PySpark TensorFlow PyTorch Keras Cloud Computing Amazon Web Services AWS Web Services Pandas Software NumPy Spark Containerization Neural Networks JSON Convolutional Neural Networks CNN Deep Neural Networks DNN Docker Bash Recurrent Neural Networks RNN JIRA Unix Jenkins Apache Airflow Airflow Unit Testing Apache Oozie Code Review             ,"Master's degree, Computer Science AGH University of Science and Technology","Bachelor's degree, Electronics and Telecommunications AGH University of Science and Technology","Bachelor's degree, Computer Science AGH University of Science and Technology",Python ML Engineer VirtusLab,Junior Software Developer - Python Samsung Electronics,Software Developer Comarch,Software Engineering Intern Comarch,Python ML Engineer,1
138,oleh-bodilovskyi,C Software Development C Natural Language Processing NLP Image Processing Matlab OpenCV Artificial Intelligence AI Digital Image Processing Engineering Digital Signal Processors Embedded Systems Digital Signal Processing NI LabVIEW Internet of Things Signal Processing AWS Video Processing Amazon Alexa Biomedical Engineering Biomedical Devices Biomedical Electronics Speech recognition Computer vision Multisim AI bots development Witai                         ,"Master's degree, Physical and Biomedical electronics National Technical University of Ukraine 'Kyiv Polytechnic Institute'​","Bachelor's degree, Electronics National Technical University of Ukraine 'Kyiv Polytechnic Institute'​", ,ML Engineer thredUP,PhD student National Technical University of Ukraine 'Kyiv Polytechnic Institute',R&D Engineer Ciklum,Visiting Scholar West Virginia University,ML Engineer,1
139,sita-rami-reddy-lankireddy-7b5a0a78,Machine Learning java Microsoft Excel Deep Learning Python Hive Tableau Image Processing Statistical Data Analysis OpenCV Exploratory Data Analysis Apache Spark Natural Language Processing R language Recommender Systems Market mix modelling                                    ,"PGD, Data Science International Institute of Information Technology Bangalore","Engineer’s Degree, Electronics and Communications Engineering KL University", ,Senior ML Engineer Exponential AI,ML Engineer Exponential AI,System Engineer Infosys, ,Senior ML Engineer,1
140,atharvap6,C MySQL SQL Linux Microsoft Word Machine Learning Databases C Programming Language Programming Microsoft Office Leadership C Project Management Microsoft Excel Customer Service Deep Learning Python Data Structures Algorithms Data Visualization Data Science PowerPoint Computer Vision Research Management Mathematics Machine Learning Algorithms TensorFlow MATLAB Web Scraping GNU Octave Penetration Testing Kali Linux General Adversarial Networks                  ,"Bachelor of Engineering - BE, Information Technology Savitribai Phule Pune University","SSC Kendriya Vidyalaya, Jalgaon", ,Junior ML Engineer Omdena,Data Science Intern The Sparks Foundation, , ,Junior ML Engineer,1
141,fbocci,Data Analysis Public Speaking Research Self Learning Proactive Leader                                               ,Ingeniería de sistemas Universidad Tecnológica Nacional, , ,ML Engineer Delivery Hero,Sr ML Developer Mercado Libre,ML Engineer - Tech Lead Mercado Libre,SSr Data & Analytics Engineer Mercado Libre,ML Engineer,1
142,larion-babych-7708b924,SQL Git Machine Learning Data Analysis Programming ObjectOriented Programming OOP Deep Learning Python Algorithms Data Mining Data Science OpenCV Computer Vision Mathematics Machine Learning Algorithms TensorFlow Keras NumPy ScikitLearn Core Java SciPy Pandas                              ,"Master's degree, Applied Mathematics National Technical University of Ukraine 'Kyiv Polytechnic Institute'​", , ,ML Engineer LUN,Data Scientist Star,Data Scientist SoftBlues,Data Scientist Jiji.ng,ML Engineer,1
143,sandhya-jayaraman-25929b177,MySQL python Machine Learning Microsoft Excel Statistics Data Analytics Hadoop R language                                            ,"Master's degree, Data Science Coimbatore Institute of Technology", , ,AI/ML Engineer QpiCloud,AI Research Intern QpiCloud,"Junior Data Scientist DeepSphere.AI, Inc.",Data Science Intern nanobi analytics,AI/ML Engineer,1
144,jmshi,C Linux Data Engineering Data Analysis Photography Science Programming C Python Algorithms Numerical Analysis Statistics Data Science Mathematica Mathematical Modeling Apache Spark Shell Scripting Apache Kafka LaTeX Physics Writing Frontend Development Simulations GNU Make Cassandra Visualization Infrastructure Drawing High Performance Computing flask git MPI Data Streaming Parallel Computing Scientific Computing Sketching IDL Fortran IDL programming Calligraphy Language Teaching Badminton Designs Fluid Dynamics Astrophysics       ,"M.A., Astronomy The Johns Hopkins University","Ph.D, Astronomy The Johns Hopkins University","M.S; B.S, Astronomy University of Science and Technology of China",ML Engineer Spotify,Associate Research Scholar Princeton University,Data Engineer Fellow Insight Data Science,CIPS Postdoc fellow UC Berkeley,ML Engineer,1
145,sajad-alipour,Java MySQL Linux Data Analysis Microsoft Office C Python Statistics R Matlab SPSS OpenCV Computer Vision SAS Programming Cloud Computing Amazon Web Services AWS C Docker R programming Deep learning Mathematical Statistics Geographic Information Systems GIS ArcGIS Tensorflow LISREL Java Script GIS                         ,"Doctor of Philosophy (Ph.D.), Mechanical and Environmental Informatics Tokyo Institute of Technology","Master’s Degree, Urban  and Regional Planning Iran University of Science and Technology","Bachelor's degree, statistics, Statistics Imam Khomeini International University",Senior ML Engineer ExaWizards ,ML Engineer Data Scientist at 株式会社ロボケン ( Roboken Inc. ),Data Scientist Centan.inc,Research Assistant Tokyo Institute of Technology,Senior ML Engineer,1
146,xiao-hu-yan-31b60218,Java Machine Learning C Deep Learning Python Statistics Hadoop R Statistical Modeling Big Data Quantitative Research High Performance Computing Electronic Trading Fixed Income Futures Value Investing                                    ,"MPhil, Computational Biology University of Cambridge","BA, Mathematics University of Cambridge", ,Staff ML Engineer / Tech Lead Twitter,Machine Learning Capital One Labs,Quantitative and Algorithmic Trading Goldman Sachs,Quantitative Trader UBS,Staff ML Engineer / Tech Lead,1
